date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:43	108/108	---M-Z	200	added ('OK')	text/plain	etag:%22181-1717123669;gz%22	https://demoxml.com/robots.txt		(from )
09:06:43	42922/42922	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:12%20GMT	https://demoxml.com/html/furnhome/?storefront=envato-elements	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/index04b9.html	(from )
09:06:44	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Sun,%2010%20Jul%202016%2000:46:50%20GMT	https://demoxml.com/html/furnhome/images//favicon.ico	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/favicon.ico	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:44	2174/2174	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:58%20GMT	https://demoxml.com/html/furnhome/images//apple-touch-icon-114x114-precomposed.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/apple-touch-icon-114x114-precomposed.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Jun%202024%2016:07:00%20GMT	https://demoxml.com/html/furnhome/images//apple-touch-icon-72x72-precomposed.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/apple-touch-icon-72x72-precomposed.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:46	41483/41483	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jun%202024%2016:07:00%20GMT	https://demoxml.com/html/furnhome/images/apple-touch-icon-72x72-precomposed.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/apple-touch-icon-72x72-precomposed.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:46	949/949	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:58%20GMT	https://demoxml.com/html/furnhome/images//apple-touch-icon-57x57-precomposed.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/apple-touch-icon-57x57-precomposed.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:47	79619/79619	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/style.css	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/style.css	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:47	42922/42922	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:12%20GMT	https://demoxml.com/html/furnhome/index.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/index.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:48	1964/1964	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:46%20GMT	https://demoxml.com/html/furnhome/images/logo-1.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/logo-1.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:48	2284/2284	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:42%20GMT	https://demoxml.com/html/furnhome/images/product-wishlist-1.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-wishlist-1.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:49	2057/2057	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:42%20GMT	https://demoxml.com/html/furnhome/images/product-wishlist-2.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-wishlist-2.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:49	37158/37158	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:10%20GMT	https://demoxml.com/html/furnhome/index-2.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/index-2.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:50	41483/41483	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jun%202024%2016:07:04%20GMT	https://demoxml.com/html/furnhome/shop.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/shop.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:52	26504/26504	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:10%20GMT	https://demoxml.com/html/furnhome/shop-1.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/shop-1.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:52	26149/26149	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/shop-2.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/shop-2.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:53	25348/25348	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/product-detail.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/product-detail.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:53	21078/21078	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/cart.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/cart.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:54	23786/23786	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/checkout.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/checkout.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:54	25372/25372	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:10%20GMT	https://demoxml.com/html/furnhome/blog.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/blog.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:54	24669/24669	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/blog-post.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/blog-post.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:55	18325/18325	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Jul%202016%2000:46:08%20GMT	https://demoxml.com/html/furnhome/contact-us.html	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/contact-us.html	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:06:58	301151/301151	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:38%20GMT	https://demoxml.com/html/furnhome/images/slider-1.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/slider-1.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:00	53030/53030	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:47:00%20GMT	https://demoxml.com/html/furnhome/images/ad-banner-4.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/ad-banner-4.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:00	423927/423927	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:38%20GMT	https://demoxml.com/html/furnhome/images/slider-2.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/slider-2.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:02	56605/56605	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:47:00%20GMT	https://demoxml.com/html/furnhome/images/ad-banner-5.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/ad-banner-5.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:04	761624/761624	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:42%20GMT	https://demoxml.com/html/furnhome/images/slider-3.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/slider-3.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:04	111182/111182	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:47:00%20GMT	https://demoxml.com/html/furnhome/images/ad-banner-6.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/ad-banner-6.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:04	96952/96952	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jul%202016%2000:46:58%20GMT	https://demoxml.com/html/furnhome/images/ad-banner-7.png	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/ad-banner-7.png	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:06	20677/20677	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:58%20GMT	https://demoxml.com/html/furnhome/images/ad-banner-bg.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/ad-banner-bg.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:06	9736/9736	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:44%20GMT	https://demoxml.com/html/furnhome/images/product-6.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-6.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:06	9777/9777	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:44%20GMT	https://demoxml.com/html/furnhome/images/product-9.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-9.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:06	9989/9989	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:46%20GMT	https://demoxml.com/html/furnhome/images/product-10.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-10.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:07	8849/8849	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:46%20GMT	https://demoxml.com/html/furnhome/images/product-13.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-13.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
09:07:07	15352/15352	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jul%202016%2000:46:46%20GMT	https://demoxml.com/html/furnhome/images/product-1.jpg	C:/Users/Camalov/Desktop/FurnHome/demoxml.com/html/furnhome/images/product-1.jpg	(from https://demoxml.com/html/furnhome/?storefront=envato-elements)
